appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,estimated players,estimated active players,average total playtime,average recent playtime,release_date,days_from_release,languages_supports,review_num,positive_rate
402608,Double Fine Adventure: EP19 - Last Call,,,,23,3,0,"0 .. 20,000",0,0,0,0,0.0,0,0,0,English,,"{'Documentary': 53, 'Indie': 32, 'Game Development': 30, 'Episodic': 28, 'Gaming': 28}",671000 ,2000  ,0h,0h,"Aug 5, 2016",1850,1,26,0.8846153846153846
698610,Through Blocks,NedoStudio,NedoStudio,,11,22,0,"0 .. 20,000",0,0,0,0,0.99,99,0,0,English,"Adventure, Indie","{'Indie': 73, 'Adventure': 66, 'Puzzle-Platformer': 52, 'Platformer': 49, 'Third-Person Shooter': 46, '2D': 40, 'Pixel Graphics': 38, 'Retro': 36, 'Score Attack': 34, 'Grid-Based Movement': 32, 'Building': 30, 'Singleplayer': 28, 'Early Access': 26, 'Difficult': 24}",237000 ,2000  ,0.1h,0h,"May 6, 2019",846,1,33,0.3333333333333333
642520,Trio,Paper Plane,Paper Plane,,55,44,0,"20,000 .. 50,000",0,0,0,0,0.99,99,0,0,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Portuguese - Brazil, Greek, Danish, Simplified Chinese, Traditional Chinese, Korean, Norwegian, Dutch, Polish, Portuguese, Russian, Romanian, Thai, Turkish, Hungarian, Ukrainian, Finnish, Czech, Swedish, Japanese",Casual,"{'Casual': 25, 'Indie': 13, '2D': 13, 'Minimalist': 13, 'Singleplayer': 12, 'Short': 12}",553000 ,9000  ,0.5h,0h,"Jun 8, 2017",1543,27,99,0.5555555555555556
291290,Motte Island,Gamebell Studio,One Aperture,,65,18,0,"0 .. 20,000",0,0,0,0,4.99,499,0,0,English,"Adventure, Casual, Indie","{'Indie': 39, 'Adventure': 27, 'Horror': 26, 'Casual': 22, '2D': 10, 'Top-Down': 10}",497000 ,1000  ,0.2h,0h,"Apr 7, 2014",2701,1,83,0.7831325301204819
1153700,Eternal Magic,Duoyi,101XP,,452,215,0,"100,000 .. 200,000",211,0,211,0,0.0,0,0,18,"English, Russian","Action, Free to Play, Massively Multiplayer, RPG","{'Free to Play': 171, 'RPG': 167, 'Massively Multiplayer': 164, 'Action': 153, 'MMORPG': 56, 'Fantasy': 37, 'Open World': 29, 'Character Customization': 27, 'Magic': 25, 'Female Protagonist': 24, 'Multiplayer': 24, 'Sandbox': 24, 'Third Person': 23, 'Story Rich': 22, 'PvP': 22, 'Crafting': 22, 'Co-op': 22, 'Exploration': 21, 'Atmospheric': 21, 'Adventure': 21}",201000 ,12000  ,1.9h,0.4h,"Apr 17, 2020",499,2,667,0.6776611694152923
357600,Unium,Kittehface Software,Kittehface Software,,278,17,0,"0 .. 20,000",240,0,356,0,1.99,199,0,0,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese, Russian, Simplified Chinese","Casual, Indie, Strategy","{'Casual': 31, 'Indie': 27, 'Puzzle': 26, 'Strategy': 23, 'Minimalist': 10, 'Singleplayer': 6}",565000 ,13000  ,2.8h,0.1h,"Mar 27, 2015",2347,9,295,0.9423728813559322
979220,Girls and Tests,morojenoe's empire,morojenoe's empire,,1,3,0,"0 .. 20,000",0,0,0,0,1.99,199,0,0,"English, Japanese","Casual, Indie","{'Indie': 21, 'Casual': 21}",0000 ,0000  ,0h,0h,"Nov 23, 2018",1010,2,4,0.25
298830,Millennium 3 - Cry Wolf,Aldorlea Games,Aldorlea Games,,34,5,0,"20,000 .. 50,000",250,0,250,0,5.99,599,0,0,English,"Adventure, Casual, Indie, RPG","{'RPG': 66, 'Indie': 60, 'Female Protagonist': 47, 'RPGMaker': 37, 'Adventure': 36, 'Casual': 35, 'Exploration': 30, 'Great Soundtrack': 28, 'Story Rich': 27, 'Replay Value': 26, 'Fantasy': 19, 'Episodic': 19, '2D': 14, 'JRPG': 13, 'Werewolves': 9}",400000 ,23000  ,5.1h,0.3h,"Aug 29, 2014",2557,1,39,0.8717948717948718
584880,Pixel Sand,Kongroth,Kongroth,,44,5,0,"0 .. 20,000",17,0,17,0,0.0,0,0,0,English,"Adventure, Casual, Simulation","{'Casual': 25, 'Adventure': 22, 'Simulation': 20, 'Pixel Graphics': 8}",250000 ,3000  ,0.3h,0h,"Apr 20, 2017",1592,1,49,0.8979591836734694
1041840,Fight Angel Special Edition,Red Fox,Red Fox,,687,185,0,"20,000 .. 50,000",0,0,0,0,19.99,1999,0,8,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean","Action, Simulation","{'Sexual Content': 332, 'Character Customization': 324, 'Nudity': 323, 'Hentai': 320, 'Spectacle fighter': 311, 'Mature': 308, 'Female Protagonist': 303, 'Arcade': 298, 'PvP': 289, 'Anime': 288, 'Action RPG': 279, 'Action': 272, 'Fighting': 267, 'Martial Arts': 255, 'Controller': 253, '3D Fighter': 243, 'Simulation': 238, 'Action-Adventure': 226, '3D Platformer': 216, '3D': 215}",74000 ,19000  ,1.3h,0.3h,"Dec 20, 2019",618,5,872,0.7878440366972477
