appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,estimated players,estimated active players,average total playtime,average recent playtime,release_date,days_from_release,languages_supports,review_num,positive_rate,cut_time,average_cut,duration,average_price,fix
293460,I Shall Remain,Scorpius Games,Scorpius Games,,103,46,0,"20,000 .. 50,000",0,0,0,0,9.99,999,0,0,English,"Action, Indie, RPG","{'Indie': 46, 'RPG': 43, 'Action': 39, 'Post-apocalyptic': 29, 'Survival': 27, 'Zombies': 26, 'Horror': 16, 'Action RPG': 14, 'Hack and Slash': 13, 'Loot': 13, 'Singleplayer': 13, 'Alternate History': 12, 'Great Soundtrack': 12, 'Replay Value': 11, 'Atmospheric': 11, 'Perma Death': 11, 'Story Rich': 11, 'Third Person': 11, 'Difficult': 10, 'Dark': 10}",330000.0,5000000.0,1.1h,0.1h,"Aug 24, 2015",2194,1,149,0.69,24,0.45,8,9.12,True
846200,Bastard,Aterdux Entertainment,Aterdux Entertainment,,72,48,0,"50,000 .. 100,000",0,0,0,0,8.99,899,0,1,"English, German, Russian","Adventure, Indie, RPG, Strategy","{'Tactical RPG': 119, 'Medieval': 111, 'Visual Novel': 106, 'Turn-Based': 105, 'Multiple Endings': 102, 'Turn-Based Strategy': 95, 'Strategy RPG': 89, 'RPG': 87, 'Strategy': 84, 'Third Person': 81, '3D': 80, 'Turn-Based Combat': 75, 'Tactical': 67, 'Adventure': 65, 'Singleplayer': 54, 'Indie': 49, 'Casual': 29, 'Hex Grid': 27}",75000.0,9000000.0,1.9h,0.4h,"May 14, 2018",1200,3,120,0.6,19,0.64,7,6.17,True
3960,Shattered Union,PopTop,2K,,61,61,0,"20,000 .. 50,000",0,0,0,0,4.99,499,0,1,English,Strategy,"{'Strategy': 30, 'Turn-Based Strategy': 10}",119000.0,2000000.0,0.6h,0h,"Oct 25, 2006",5419,1,122,0.5,12,0.73,11,3.24,True
690740,BOOKS,UNIOCS,UNIOCS,,76,41,0,"20,000 .. 50,000",0,0,0,0,0.99,99,0,0,"English, Russian","Casual, Indie","{'Casual': 47, 'Indie': 44, 'Puzzle': 26, 'Education': 24, 'Singleplayer': 23, 'Relaxing': 16, 'Short': 16, 'Cute': 16}",141000.0,12000000.0,2.2h,0.1h,"Aug 23, 2017",1467,2,117,0.6495726495726496,33,0.45,9,0.77,True
262280,Dungeons 2,Realmforge Studios,Kalypso Media Digital,,3791,891,0,"1,000,000 .. 2,000,000",611,0,293,0,19.99,1999,0,62,"English, German, French, Italian, Spanish - Spain, Russian, Polish, Czech, Simplified Chinese","RPG, Simulation, Strategy","{'Strategy': 170, 'RPG': 107, 'Management': 103, 'Fantasy': 93, 'Dungeon Crawler': 91, 'RTS': 81, 'Comedy': 77, 'Villain Protagonist': 76, 'Simulation': 72, 'Multiplayer': 43, 'Singleplayer': 43, 'Funny': 31, 'Competitive': 30, 'Base-Building': 27, 'Top-Down': 17, 'Building': 15, 'God Game': 12, 'Tower Defense': 9, 'Sandbox': 7}",4700000.0,175000000.0,3.7h,0.2h,"Apr 24, 2015",2316,9,4682,0.81,2,0.7,10,12.99,True
815370,Green Hell,Creepy Jar,Creepy Jar,,33348,5023,0,"1,000,000 .. 2,000,000",842,93,646,107,24.99,2499,0,2064,"English, French, Italian, German, Spanish - Spain, Traditional Chinese, Simplified Chinese, Portuguese, Portuguese - Brazil, Russian, Polish, Czech, Japanese, Korean, Swedish, Thai, Vietnamese, Hungarian, Turkish","Action, Adventure, Indie, Simulation","{'Survival': 1204, 'Open World Survival Craft': 957, 'Open World': 713, 'Crafting': 599, 'Online Co-Op': 590, 'Simulation': 575, 'Singleplayer': 510, 'Base-Building': 434, 'Survival Horror': 420, 'Realistic': 406, 'Sandbox': 403, 'Exploration': 398, 'First-Person': 391, 'Building': 351, 'Adventure': 348, 'Atmospheric': 341, 'Action-Adventure': 337, 'Resource Management': 329, 'Immersive Sim': 323, 'Indie': 313}",1200000.0,669000000.0,11.7h,3.5h,"Sep 5, 2019",721,19,38371,0.87,8,0.28,8,21.24,True
640740,Saga of Tanya the Evil: The Devil of the Rhine,,,,58,0,0,"0 .. 20,000",0,0,0,0,1.99,199,0,0,"English, Japanese",,"{'Anime': 31, 'Episodic': 22, 'War': 7, 'Action': 6}",12000.0,1000000.0,0.4h,0h,"Jun 21, 2017",1530,2,58,1.0,1,0.3,14,1.79,True
652390,Mr Rabbit's Alphabet Forest Adventure,Alakhaine Specialist Consulting Limited,Alakhaine Specialist Consulting Limited,,14,7,0,"0 .. 20,000",0,0,0,0,4.99,499,0,0,"English, Polish, Russian, Simplified Chinese","Casual, Indie","{'Casual': 30, 'Indie': 21, 'Education': 5}",318000.0,1000000.0,0.1h,0h,"Jul 17, 2018",1136,4,21,0.67,7,0.34,8,4.13,True
1522,DEFCON Demo,Introversion Software,Introversion Software,,2103,360,0,"0 .. 20,000",0,0,0,0,0.0,0,0,13,English,"Strategy, Indie","{'Strategy': 226, 'Indie': 137, 'Wargame': 101, 'Multiplayer': 98, 'Cold War': 96, 'Real-Time with Pause': 50, 'RTS': 46, 'Simulation': 46, 'Atmospheric': 42, 'War': 39, 'Diplomacy': 35, '2D': 31, 'Tactical': 27, 'Singleplayer': 22, 'Great Soundtrack': 19, 'Addictive': 13, 'Psychological Horror': 12, 'Horror': 7}",0.0,0.0,0h,0h,"Sep 29, 2006",5448,1,2463,0.853836784409257,NA,NA,NA,NA,True
519804,Complete Figure Drawing Course HD: 183 - The Muscles of the Foot - Part 5,,,99,36,9,80,"0 .. 20,000",0,0,0,0,0.0,0,0,0,English,,"{'Design & Illustration': 30, 'Tutorial': 30}",6000.0,0.0,0h,0h,"Aug 22, 2016",1830,1,45,0.8,NA,NA,NA,NA,True
